input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage
raw,left,1.0,0.1,-0.2061,0.2534,0.2836,0.1103,0.932
raw,left,1.0,0.2,0.2277,0.2797,0.2881,0.2652,0.932
raw,left,1.0,0.3,0.3772,0.3604,0.3563,0.3647,0.932
raw,left,1.0,0.4,0.4504,0.4297,0.4130,0.4310,0.932
raw,left,1.0,0.5,0.5017,0.4891,0.4619,0.4843,0.932
raw,left,1.0,0.6,0.5421,0.5291,0.5001,0.5238,0.932
raw,left,1.0,0.7,0.5667,0.5548,0.5316,0.5511,0.932
raw,left,1.0,0.8,0.5888,0.5694,0.5542,0.5708,0.932
raw,left,1.0,0.9,0.6000,0.5787,0.5706,0.5831,0.932
raw,left,1.0,1.0,0.6103,0.5808,0.5787,0.5899,0.932
raw,left,3.0,0.1,-0.2233,0.2449,0.2600,0.0939,0.922
raw,left,3.0,0.2,0.2223,0.2789,0.2783,0.2598,0.922
raw,left,3.0,0.3,0.3775,0.3599,0.3472,0.3615,0.922
raw,left,3.0,0.4,0.4536,0.4261,0.4016,0.4271,0.922
raw,left,3.0,0.5,0.5048,0.4807,0.4480,0.4778,0.922
raw,left,3.0,0.6,0.5429,0.5206,0.4826,0.5153,0.922
raw,left,3.0,0.7,0.5665,0.5463,0.5143,0.5424,0.922
raw,left,3.0,0.8,0.5872,0.5642,0.5393,0.5636,0.922
raw,left,3.0,0.9,0.5983,0.5749,0.5578,0.5770,0.922
raw,left,3.0,1.0,0.6079,0.5787,0.5690,0.5852,0.922
raw,right,1.0,0.1,0.2965,0.3156,0.3580,0.3233,0.930
raw,right,1.0,0.2,0.3404,0.3536,0.3908,0.3616,0.930
raw,right,1.0,0.3,0.3950,0.4479,0.4453,0.4294,0.930
raw,right,1.0,0.4,0.4480,0.5219,0.4808,0.4836,0.930
raw,right,1.0,0.5,0.5010,0.5769,0.5116,0.5299,0.930
raw,right,1.0,0.6,0.5433,0.6053,0.5308,0.5598,0.930
raw,right,1.0,0.7,0.5750,0.6170,0.5433,0.5784,0.930
raw,right,1.0,0.8,0.5952,0.6148,0.5531,0.5877,0.930
raw,right,1.0,0.9,0.6073,0.6045,0.5600,0.5906,0.930
raw,right,1.0,1.0,0.6121,0.5906,0.5673,0.5900,0.930
raw,right,3.0,0.1,0.2891,0.3056,0.3369,0.3105,0.914
raw,right,3.0,0.2,0.3354,0.3527,0.3747,0.3542,0.914
raw,right,3.0,0.3,0.3865,0.4511,0.4291,0.4222,0.914
raw,right,3.0,0.4,0.4377,0.5274,0.4638,0.4763,0.914
raw,right,3.0,0.5,0.4869,0.5813,0.4943,0.5208,0.914
raw,right,3.0,0.6,0.5269,0.6105,0.5155,0.5510,0.914
raw,right,3.0,0.7,0.5586,0.6203,0.5300,0.5696,0.914
raw,right,3.0,0.8,0.5804,0.6189,0.5426,0.5806,0.914
raw,right,3.0,0.9,0.5949,0.6087,0.5541,0.5859,0.914
raw,right,3.0,1.0,0.6023,0.5960,0.5650,0.5877,0.914
highpass,left,1.0,0.1,-0.0388,0.2712,0.2899,0.1741,0.931
highpass,left,1.0,0.2,0.2906,0.2943,0.3032,0.2960,0.931
highpass,left,1.0,0.3,0.4116,0.3664,0.3643,0.3808,0.931
highpass,left,1.0,0.4,0.4711,0.4277,0.4165,0.4384,0.931
highpass,left,1.0,0.5,0.5167,0.4812,0.4623,0.4867,0.931
highpass,left,1.0,0.6,0.5527,0.5189,0.4986,0.5234,0.931
highpass,left,1.0,0.7,0.5731,0.5453,0.5295,0.5493,0.931
highpass,left,1.0,0.8,0.5917,0.5621,0.5539,0.5692,0.931
highpass,left,1.0,0.9,0.6004,0.5730,0.5714,0.5816,0.931
highpass,left,1.0,1.0,0.6076,0.5763,0.5809,0.5882,0.931
highpass,left,3.0,0.1,-0.0980,0.2208,0.2630,0.1286,0.925
highpass,left,3.0,0.2,0.2596,0.2609,0.2879,0.2695,0.925
highpass,left,3.0,0.3,0.3873,0.3404,0.3508,0.3595,0.925
highpass,left,3.0,0.4,0.4467,0.3988,0.4025,0.4160,0.925
highpass,left,3.0,0.5,0.4909,0.4493,0.4477,0.4626,0.925
highpass,left,3.0,0.6,0.5260,0.4880,0.4831,0.4990,0.925
highpass,left,3.0,0.7,0.5465,0.5159,0.5140,0.5255,0.925
highpass,left,3.0,0.8,0.5670,0.5357,0.5385,0.5471,0.925
highpass,left,3.0,0.9,0.5777,0.5502,0.5559,0.5613,0.925
