config_hash,baseline,hyper,channel,horizon_step_s,mse,rmse,mae,skill_vs_persistence,n_valid
ccb0d9c59f9b664f,persistence,,F_L,0.1,26641.9,163.223,339.116,0.0000,49670
ccb0d9c59f9b664f,persistence,,F_L,0.2,80520.8,283.762,339.116,0.0000,49670
ccb0d9c59f9b664f,persistence,,F_L,0.3,136795,369.858,339.116,0.0000,49670
ccb0d9c59f9b664f,persistence,,F_L,0.4,186620,431.995,339.116,0.0000,49670
ccb0d9c59f9b664f,persistence,,F_L,0.5,227215,476.671,339.116,0.0000,49670
ccb0d9c59f9b664f,persistence,,F_L,0.6,261683,511.55,339.116,0.0000,49670
ccb0d9c59f9b664f,persistence,,F_L,0.7,292429,540.767,339.116,0.0000,49670
ccb0d9c59f9b664f,persistence,,F_L,0.8,320616,566.229,339.116,0.0000,49670
ccb0d9c59f9b664f,persistence,,F_L,0.9,347725,589.682,339.116,0.0000,49670
ccb0d9c59f9b664f,persistence,,F_L,1.0,373039,610.769,339.116,0.0000,49670
ccb0d9c59f9b664f,persistence,,CoPx_L,0.1,0.000420471,0.0205054,0.0339752,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPx_L,0.2,0.00114733,0.0338722,0.0339752,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPx_L,0.3,0.00172036,0.0414772,0.0339752,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPx_L,0.4,0.00211299,0.0459673,0.0339752,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPx_L,0.5,0.00238273,0.0488132,0.0339752,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPx_L,0.6,0.00259752,0.0509658,0.0339752,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPx_L,0.7,0.00278885,0.0528096,0.0339752,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPx_L,0.8,0.0029552,0.0543617,0.0339752,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPx_L,0.9,0.00310823,0.0557515,0.0339752,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPx_L,1.0,0.0032426,0.0569439,0.0339752,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPy_L,0.1,0.000372548,0.0193015,0.0324971,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPy_L,0.2,0.00101765,0.0319006,0.0324971,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPy_L,0.3,0.00153253,0.0391476,0.0324971,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPy_L,0.4,0.00189708,0.0435555,0.0324971,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPy_L,0.5,0.00216661,0.0465469,0.0324971,0.0000,46647
ccb0d9c59f9b664f,persistence,,CoPy_L,0.6,0.00239612,0.0489501,0.0324971,0.0000,46647
